Date,NYIS demand megawatthours,NYIS demand forecast megawatthours
02-01-2020,16781.541666666668,16335.291666666666
02-02-2020,16431.791666666668,15971.166666666666
02-03-2020,17122.375,16753.666666666668
02-04-2020,17313.208333333332,16911.291666666668
02-05-2020,17498.75,17008.958333333332
02-06-2020,18068.708333333332,17217.166666666668
02-07-2020,17935.583333333332,17052.833333333332
02-08-2020,17292.666666666668,16943.916666666668
02-09-2020,17019.416666666668,16655.583333333332
02-10-2020,17718.041666666668,17390.916666666668
02-11-2020,17476.291666666668,17230.125
02-12-2020,17318.166666666668,17136.708333333332
02-13-2020,17840.166666666668,17052.458333333332
02-14-2020,18333.333333333332,17760.041666666668
02-15-2020,18245.166666666668,17480.583333333332
02-16-2020,16814.0,16333.583333333334
02-17-2020,16912.375,16736.5
02-18-2020,17879.916666666668,17353.583333333332
02-19-2020,17302.583333333332,17063.166666666668
02-20-2020,18255.5,17949.041666666668
02-21-2020,18379.125,17839.208333333332
02-22-2020,16621.416666666668,16317.666666666666
02-23-2020,15729.041666666666,15525.166666666666
02-24-2020,16546.333333333332,16602.208333333332
02-25-2020,16821.708333333332,16685.375
02-26-2020,17108.833333333332,16604.958333333332
02-27-2020,17552.625,16611.791666666668
02-28-2020,18133.541666666668,17392.5
02-29-2020,17240.125,16694.125
