,NYIS demand megawatthours,NYIS demand forecast megawatthours,Date,Hour
0,16193,15979,02-01-2020,00
1,15416,15253,02-01-2020,01
2,14902,14743,02-01-2020,02
3,14565,14427,02-01-2020,03
4,14429,14285,02-01-2020,04
5,14463,14331,02-01-2020,05
6,14743,14666,02-01-2020,06
7,15367,15330,02-01-2020,07
8,16064,15955,02-01-2020,08
9,16851,16477,02-01-2020,09
10,17428,16923,02-01-2020,10
11,17762,17129,02-01-2020,11
12,17836,17138,02-01-2020,12
13,17806,16991,02-01-2020,13
14,17741,16799,02-01-2020,14
15,17689,16693,02-01-2020,15
16,17722,16723,02-01-2020,16
17,18034,17079,02-01-2020,17
18,18633,17962,02-01-2020,18
19,18724,18235,02-01-2020,19
20,18380,17914,02-01-2020,20
21,17963,17557,02-01-2020,21
22,17406,17101,02-01-2020,22
23,16640,16357,02-01-2020,23
24,15786,15593,02-02-2020,00
25,15084,14872,02-02-2020,01
26,14577,14364,02-02-2020,02
27,14244,14037,02-02-2020,03
28,14084,13872,02-02-2020,04
29,14116,13902,02-02-2020,05
30,14327,14168,02-02-2020,06
31,14811,14714,02-02-2020,07
32,15407,15193,02-02-2020,08
33,16083,15713,02-02-2020,09
34,16569,16114,02-02-2020,10
35,16814,16327,02-02-2020,11
36,17088,16393,02-02-2020,12
37,17264,16381,02-02-2020,13
38,17314,16365,02-02-2020,14
39,17355,16403,02-02-2020,15
40,17635,16591,02-02-2020,16
41,18223,17070,02-02-2020,17
42,18966,18063,02-02-2020,18
43,18832,18381,02-02-2020,19
44,18280,18012,02-02-2020,20
45,17794,17591,02-02-2020,21
46,17246,17024,02-02-2020,22
47,16464,16165,02-02-2020,23
48,15543,15269,02-03-2020,00
49,14818,14333,02-03-2020,01
50,14355,13896,02-03-2020,02
51,14118,13678,02-03-2020,03
52,14048,13628,02-03-2020,04
53,14318,13916,02-03-2020,05
54,15245,14875,02-03-2020,06
55,16925,16616,02-03-2020,07
56,18174,17732,02-03-2020,08
57,18549,17948,02-03-2020,09
58,18630,17921,02-03-2020,10
59,18428,17821,02-03-2020,11
60,18126,17604,02-03-2020,12
61,17811,17378,02-03-2020,13
62,17609,17277,02-03-2020,14
63,17547,17234,02-03-2020,15
64,17717,17403,02-03-2020,16
65,18249,17898,02-03-2020,17
66,19182,18933,02-03-2020,18
67,19495,19337,02-03-2020,19
68,19143,18977,02-03-2020,20
69,18579,18430,02-03-2020,21
70,17733,17597,02-03-2020,22
71,16595,16387,02-03-2020,23
72,15548,15250,02-04-2020,00
73,14799,14485,02-04-2020,01
74,14369,14031,02-04-2020,02
75,14163,13782,02-04-2020,03
76,14083,13718,02-04-2020,04
77,14321,13960,02-04-2020,05
78,15188,14855,02-04-2020,06
79,16890,16506,02-04-2020,07
80,18022,17619,02-04-2020,08
81,18399,17993,02-04-2020,09
82,18619,18183,02-04-2020,10
83,18788,18255,02-04-2020,11
84,18700,18211,02-04-2020,12
85,18559,18077,02-04-2020,13
86,18467,17994,02-04-2020,14
87,18332,17876,02-04-2020,15
88,18381,17906,02-04-2020,16
89,18734,18243,02-04-2020,17
90,19523,19036,02-04-2020,18
91,19625,19207,02-04-2020,19
92,19232,18811,02-04-2020,20
93,18597,18224,02-04-2020,21
94,17681,17407,02-04-2020,22
95,16497,16242,02-04-2020,23
96,15380,15131,02-05-2020,00
97,14608,14297,02-05-2020,01
98,14164,13897,02-05-2020,02
99,13986,13686,02-05-2020,03
100,13999,13662,02-05-2020,04
101,14292,13958,02-05-2020,05
102,15258,14883,02-05-2020,06
103,17052,16568,02-05-2020,07
104,18282,17689,02-05-2020,08
